# 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
DMODk 15 32 136 293 472 623 703 1285 190 129 101 50 28 15 13 4 1 1 1
Load-balance 108 90 69 80 90 110 415 2914 46 0 0 0 0 0 0 0 0 0 0
