Applications Hedera Hedera-PC DNN User-Input
Random 1.02 1.02 1.25 1.45
Stencil4d 1.05 1.05 1.05 1.05
Random-mixed 0.96 0.93 1.04 1.14
Stencil-mixed 1.11 1.27 1.35 1.39
