Applications Hedera Hedera-PC DNN User-Input
Random 1.21 1.21 1.59 1.64
Stencil4d 1.79 1.79 1.85 1.92
Random-mixed 1.02 1.06 1.21 1.27
Stencil-mixed 1.37 1.59 1.70 1.82
