Applications Hedera Threshold ML User-Info
Random 0.79 0.79 0.58 0.58
Stencil4d 0.68 0.68 0.66 0.65
Random-mixed 0.84 0.77 0.76 0.70
Stencil-mixed 0.73 0.63 0.59 0.55
