Applications Hedera Threshold ML User-Info
Random 0.83 0.83 0.63 0.61
Stencil4d 0.56 0.56 0.54 0.52
Random-mixed 0.98 0.94 0.83 0.79
Stencil-mixed 0.73 0.63 0.59 0.55
