Applications Hedera Hedera-PC DNN User-Input
Random 1.25 1.25 1.64 1.82
Stencil4d 1.69 1.69 1.75 1.72
Random-mixed 1.02 1.11 1.27 1.30
Stencil-mixed 1.32 1.52 1.54 1.59
