Applications Hedera Threshold ML User-Info
Random 0.98 0.98 0.80 0.69
Stencil4d 0.95 0.95 0.95 0.95
Random-mixed 1.04 1.08 0.96 0.88
Stencil-mixed 0.90 0.79 0.74 0.72
