# 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
DMODk 31 109 278 316 243 197 206 478 61 42 34 29 11 7 3 0 1
Load-balance 108 70 56 31 36 53 306 1103 0 0 0 0 0 0 0 0 0
